"mean","std_err","gmean","species","rbs","promoter","growth_defect"
103.405641087526,3.95352281011734,58.8257166069249,"e_coli","B0033m","J23103","no"
11484.2736375751,12.1730294321636,10773.7139579877,"e_coli","RiboJ_BCD-2","J23103","no"
95.643073617263,0.189778683239773,73.4210018750789,"e_coli","B0032m","J23103","no"
11374.7793459111,12.8035209689967,10623.1683300363,"e_coli","BCD-2","J23103","no"
3409.42274174683,4.47797123596246,3136.51910502561,"e_coli","B0034m","J23103","no"
11734.4847343498,12.8839155542311,10958.1732921134,"e_coli","RiboJ_UTR1","J23103","no"
951.295585018648,1.47616386279152,859.665954861247,"e_coli","B0033m","J23106","no"
26179.9444687965,28.2067819370084,24534.7114230884,"e_coli","RiboJ_BCD-2","J23106","no"
1467.25936084593,2.4736203070447,1315.15905451062,"e_coli","B0032m","J23106","no"
21818.2716402065,24.6083476735552,20304.3645433037,"e_coli","BCD-2","J23106","no"
12531.0675596887,15.0451658481738,11603.7339047288,"e_coli","B0034m","J23106","no"
35621.2162450503,37.7213866736807,33337.0830756806,"e_coli","RiboJ_UTR1","J23106","no"
3737.11939209807,6.18904444091728,3329.33906250859,"e_coli","B0033m","J23100","no"
57757.5832355169,65.5248549535643,53505.118717218,"e_coli","RiboJ_BCD-2","J23100","no"
6289.9410743625,9.11848981164752,5716.13059329682,"e_coli","B0032m","J23100","no"
55767.5910438903,67.5097798633695,50987.4323891639,"e_coli","BCD-2","J23100","no"
24383.2373127373,31.1281735936036,22393.4681922315,"e_coli","B0034m","J23100","no"
94701.6116017998,104.914047026897,87711.8152068824,"e_coli","RiboJ_UTR1","J23100","no"
3169.50697777399,51.4765373341518,1733.29899145754,"p_putida","B0033m","J23103","no"
24077.6247813525,42.6774721282175,12191.1657921737,"p_putida","RiboJ_BCD-2","J23103","no"
2832.32109153285,4.2686034439725,2179.13210685569,"p_putida","B0032m","J23103","no"
22318.7207503458,39.3172149228606,11228.7213428484,"p_putida","BCD-2","J23103","no"
16036.4192566756,30.587577630235,7325.35502950907,"p_putida","B0034m","J23103","no"
26158.6044251078,36.1810788151916,18164.7395819136,"p_putida","RiboJ_UTR1","J23103","no"
8886.94812813427,15.9879977953357,4619.1038108684,"p_putida","B0033m","J23106","no"
148701.453762643,208.945158029198,86551.2582942934,"p_putida","RiboJ_BCD-2","J23106","no"
9804.40093020544,21.7122200557773,3280.86127665784,"p_putida","B0032m","J23106","no"
48644.5198756842,101.177890325509,13077.8354949417,"p_putida","BCD-2","J23106","no"
29509.2013142289,63.7446358992272,7867.77239796135,"p_putida","B0034m","J23106","no"
106148.93817036,239.428217221913,19694.4725410822,"p_putida","RiboJ_UTR1","J23106","no"
34565.873364015,47.6124851015087,23910.7061985453,"p_putida","B0033m","J23100","no"
439138.726487355,627.980771575174,212028.264361627,"p_putida","RiboJ_BCD-2","J23100","no"
33272.0475363539,68.8772651211151,9852.24951572972,"p_putida","B0032m","J23100","no"
167968.019347297,304.410082096208,57793.8899500554,"p_putida","BCD-2","J23100","no"
74470.3087610117,145.428390263123,22540.1158633516,"p_putida","B0034m","J23100","no"
493352.342195762,567.547645211485,327618.352499831,"p_putida","RiboJ_UTR1","J23100","no"
3849.35337268502,6.12900830993113,3482.77013136639,"c_necator","B0033m","J23103","yes"
31461.733598091,41.5968793020994,28422.6919422429,"c_necator","RiboJ_BCD-2","J23103","yes"
4060.89709880358,5.07973322583379,3700.37234298749,"c_necator","B0032m","J23103","no"
18113.58187676,29.4475518527594,13091.102232139,"c_necator","BCD-2","J23103","no"
5400.07938692883,6.44812417577411,4947.47290894731,"c_necator","B0034m","J23103","no"
67923.7930358524,79.0965579601792,62360.4293230381,"c_necator","RiboJ_UTR1","J23103","no"
8434.77116736718,63.0003906886922,1008.67781722318,"c_necator","B0033m","J23106","no"
202080.642161027,226.481948645555,180790.044503599,"c_necator","RiboJ_BCD-2","J23106","yes"
16336.6221544308,26.0278453666218,13861.8899930943,"c_necator","B0032m","J23106","no"
67766.4472007471,73.6289195342935,62930.5306980756,"c_necator","BCD-2","J23106","no"
16725.8930869088,22.0223376122331,14655.5540615041,"c_necator","B0034m","J23106","no"
185495.745505946,282.944940219326,146599.972177939,"c_necator","RiboJ_UTR1","J23106","no"
56421.7257432277,73.0724905042519,49092.4722035607,"c_necator","B0033m","J23100","no"
444268.712322269,520.681182234277,387467.195726955,"c_necator","RiboJ_BCD-2","J23100","yes"
78365.3750748261,130.496511101373,56515.8633316865,"c_necator","B0032m","J23100","no"
293366.124343505,415.486638004346,242924.215407565,"c_necator","BCD-2","J23100","no"
60656.1762677614,59.3601474211734,57149.3395517054,"c_necator","B0034m","J23100","no"
451533.173007663,683.361478145785,315477.852126295,"c_necator","RiboJ_UTR1","J23100","yes"
202.765956917478,0.307332745990573,176.104867775979,"k_nataicola","B0033m","J23103","yes"
41244.9090163599,96.7087911900472,15582.0259509255,"k_nataicola","RiboJ_BCD-2","J23103","no"
1664.25141159074,3.46487856638404,1331.12164941654,"k_nataicola","B0032m","J23103","yes"
4177.52008994068,15.27594724376,1563.96984534185,"k_nataicola","BCD-2","J23103","yes"
5113.23829790951,14.2192339972077,3544.37457173077,"k_nataicola","B0034m","J23103","yes"
45474.97557514,100.719292440196,27200.689814162,"k_nataicola","RiboJ_UTR1","J23103","no"
2561.95390319471,5.5723456712183,1832.24394788126,"k_nataicola","B0033m","J23106","yes"
182365.300285937,357.790829867599,84964.2078170877,"k_nataicola","RiboJ_BCD-2","J23106","no"
2712.8657590659,7.72929785044836,1475.59186962495,"k_nataicola","B0032m","J23106","yes"
17075.831684491,54.6629017235571,4640.33223453426,"k_nataicola","BCD-2","J23106","no"
6736.15710964876,16.7270918563973,3941.79575616723,"k_nataicola","B0034m","J23106","yes"
122139.081190091,303.129898087005,63137.8867677458,"k_nataicola","RiboJ_UTR1","J23106","no"
314.373207099685,1.29949475753604,231.666256751151,"k_nataicola","B0033m","J23100","no"
520.368246992529,11.9788138484855,383.181131746781,"k_nataicola","RiboJ_BCD-2","J23100","no"
30391.7395998476,69.8559866603407,15421.5035879815,"k_nataicola","B0032m","J23100","no"
49160.2555637999,174.355162389598,12873.6014486079,"k_nataicola","BCD-2","J23100","no"
31125.8354733417,55.3180492441401,20832.8434056093,"k_nataicola","B0034m","J23100","no"
168.510038927446,6.87906009964242,78.5578659377698,"k_nataicola","RiboJ_UTR1","J23100","no"
